Scene Number,Instruction Type,Instruction
330,s,Turn to the left and then stop at the curb
331,s,Take a left turn and then continue down the road
332,d,Wait for the pedestrians to pass and then continue down the road
344,,
345,s,Take a left turn and then continue down the road
346,,
347,sd,Shift to the left lane and then stop at the stoplight then continue when the lights turn green
348,s,Turn to the right and then shift to the left lane and then take a left turn slowly
349,s,Shift to the opposing lane to avoid the white car and then move back to the left lane
350,s,Take a left turn
351,s,Take a left turn at the end of the street
352,s,Take a left turn and then continue down the road
353,s,Stop at the stoplights
354,,
355,d,Wait for the cone to be removed by the worker and then continue down the road
356,,
357,,
358,sd,Take a right turn after all the cars and people pass
359,,
360,,
361,s,Merge on to the road and take a left turn
362,s,Turn left at the intersection
363,s,Turn right at the intersection and then continue down the road
364,,
365,s,Shift to the right to avoid the parked truck and the move back
366,sd,Turn right after all the cars pass
367,s,Turn to the right and then continue down the road
368,s,Stop at the stoplights
369,sd,Turn to the right after all the cars pass
370,,
371,s,Stop at the intersection
372,sd,Take a left turn when all the cars pass
373,,
374,,
375,,
376,,
377,s,Shift to the left lane and then take a left'
378,,
379,s,Take a left lane and then shift slightly to the right then back to the same lane and then continue down the road
380,d,Stop behind the black car and then wait for the blue car to pass
381,s,Take a right turn and then continue down the road and then take a right turn
382,s,Take a left turn and then continue down the road
383,s,Take a left turn and then merge onto the street
384,s,Stop at the intersections and then take a right turn
385,s,Take a left turn and then take another left turn
386,s,stop at stop light and then take a left turn
388,,
389,,
390,,
391,s,Take a right turn and then continue down the road
392,s,Shift to the right lane
393,s,Take a right turn and then continue down the road
394,,
395,,
396,,
397,sd,Take left turn after all the cars have passed
398,sd,Shift to the opposing lane to pass the white car and then move back to the right lane
399,,
400,,
401,sd,Take a right turn after all the cars have passed and then continue down the road
402,,
403,,
405,s,Shift to the right lane and then take a right
406,,
407,,
408,s,Slow down behind the gray car and then shift to the right and pass the gray car then move back to the left lane
410,,
411,,
412,,
413,,
414,s,Take a right turn and continue down the road
415,s,Take a right turn and continue down the road
416,,
417,s,Shift to the opposing lane to pass the white car then move back to the left lane
418,,
419,s,Stop at the stop sign
420,,
421,s,Take a left turn at the end of the street
422,s,Shift to the right to pass the parked black car then head to the intersection
423,sd,Wait for the cars to pass then take a left turn
424,,
425,s,Take a left turn and then merge on to the lane
426,s,Take a left turn and then continue on the road
427,,
428,,
429,s,Take a right turn and then continue on the road
430,,
431,,
432,,
433,,
434,,
435,s,Stop at the intersection then take a right then stop at the stoplight
436,s,Take a left and then shift to the right lane and stop at the stoplight
437,,
438,,
439,,
440,,
441,s,Stop at the stop signs then continue 
442,,
443,sd,Stop behind the truck and then wait for the opposing cars to pass then pass the stopped truck
444,,
445,,
446,s,Turn left and then take the next left
447,sd,Take a left after waiting for the cars to pass
448,,
449,s,Turn to the left at the dead end
450,,
451,s,Take a right turn and then continue down the road
452,s,Stop at the stop signs then turn to the right
453,s,Turn to the right and stop at the stop signs
454,s,Turn to the left and the continue straight
455,,
456,s,Take a right turn and then continue going straight
457,s,Stop at the stop sign
458,s,Turn to the left and then continue straight
459,,
460,,
461,,
462,,
463,,
464,,
465,,
467,,
468,,
469,,
470,,
471,,
472,,
474,s,Shift to the right lane and then continue
475,s,Take a right turn and then stop behind the black car
476,s,Take a right turn and then continue
477,,
478,,
479,s,Shift to the left lane and then stop
500,s,Take a left turn at the stoplights
501,,
502,s,Take a right turn and then continue down the road and stop behind the black car
504,,
505,,
506,,
507,,
508,,
509,,
510,s,Take a left turn at the dead end and then continue down the road
511,,
512,s,Take a right turn and then continue down the road
513,s,Take a right turn and then continue down the road
514,,
515,s,Stop behind the gray car
517,d,follow the gray car until the intersection and then continue going straight
518,sd,take a left turn and then shift to the left slightly and stop behind the people unloading the car
519,,
520,,
521,d,Slowdown to allow the people to cross the crosswalk
522,s,Take the roundabout and then continue going straight
523,,
524,d,Shift to the right of the white car and then continue going straight
525,s,Take a right and then continue going straight and shift to the opposing lane
526,s,Shift to the opposing lane to avoid the cars on the right
527,s,Go straight and then stop right before the yellow truck
528,s,Move to the left of the yellow truck and then go back to the right lane
529,s,Shift slightly to the opposing lane to avoid the cars parked to the right and then continue going straight
530,s,Shift to the opposing lane to avoid the cars on the right and stop at the stop sign
531,s,Take a right turn and then continue going straight and shift to the left lane
532,s,Stop at the intersection and allow the other cars to pass
533,s,Stop at the intersection and then continue going straight and take a slight left
534,s,Move to the center of the lane and then back to the right lane to avoid the white truck
535,s,Take a left turn and then shift slightly to the left to avoid the construction zone
536,d,Wait for the lights to turn green and then take a right turn
537,d,Move to the curb to allow the gray car to pass and then continue going straight
538,s,Take a right turn at the intersection
539,d,Wait for the pedestrians to cross and then continue going straight until the stop lights
541,d,Stop at the stop lights and wait for the pedestrians to cross
542,,
543,,
544,d,Stop at the intersection and allow the pedestrian to pass
546,d,Wait for the light to turn green and then go
552,s,Take a left after all the cars pass
553,,
554,,
555,d,Slow Down and let the gray car overtake you
556,sd,Take a left turn and stop behind the white car
557,s,Shift to the right and lane and then stop at the stoplight
558,d,Take a right turn after the cars pass and then stop behind the bus
784,,
786,,
787,,
789,,
790,,
791,,
792,,
794,,
795,,
796,,
797,,
798,,
799,,
800,,
990,,
991,sd,stop right behind the gray car and wait for the people to pass
992,,
994,s,take the roundabout
995,s,take the left lane and exit the highway
996,,
997,,
998,d,take the first left after merging onto the road
999,s,change lanes to take a left turn and then take the left turn
1000,s,Shift to the right lane
1001,,
1002,s,shift to the left lane and then a take a left at the stop lights
1003,,
1004,,
1005,s,take a left turn at the lane split
1006,,
1007,s,take a left turn
1008,,
1009,,
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1016,,
1017,s,stop behind the gray car
1018,s,take the right turn and then shift onto the left lane
1019,,
1020,,
1021,,
1022,,
1023,s,take left and merge onto the left lane
1024,,
1025,,
1044,,
1045,,
1046,,
1047,,
1048,s,take a right a turn and follow the gray car
1049,,
1050,,
1051,,
1052,,
1053,,
1054,sd,take a left turn and wait for the car to exit the driveway
1055,,
1056,,
1057,,
1058,s,take a slight right and stay on the same lane
1059,d,wait for the black van to move out of the current lane and then continue going straight
1060,,
1061,,
1062,,
1063,,
1064,sd,stop right before the right turn and wait for the biker to pass and then take the right turn
1065,sd,shift to the right lane to avoid the oncoming car and then shift back to the left lane
1066,,
1067,,
1068,s,Take left turn at the stop light
1069,s,Take a left turn at the intersection and follow the gray car
1070,,
1071,,
1072,,
1073,s,Take a left turn at the intersection
1074,,
1075,,
1076,s,Take a left turn
1077,s,Take a left turn and follow the black car
1078,sd,Shifted to the right lane and overtake the white car and the van
1079,,
1080,d,Follow the black car
1081,d,follow the black car
1082,,
1083,s,Take right turn at the intersection
1084,s,Shift to the left lane
1085,,Take left turn
1086,,
1087,s,Take a right turn
1088,s,Take a right turn
1089,s,Take a left turn and the take another left turn
1090,,
1091,,
1092,,
1093,,
1094,sd,Take a left turn and follow the gray car
1095,sd,Shift the right lan and overtake the van and stop ot the red light
1096,,
1097,s,Go to the median and wait to take a right turn
1098,,
1099,,
1100,,
1101,s,Take a right turn
1102,,
1104,,
1105,s,Shift to the opposing lane to avoid the car and then move back to the left lane
1106,,
1107,,
1108,,
1109,,
1110,sd,Take the right turn and follow the black car and then shift to the right lane
